#RA DEC XI ETA F475W F814W V VERR
11.4 41.832 0.535 0.565 24.323 20.265 -122.258 2.052 
11.365 41.872 0.51 0.604 28.349 21.275 -62.579 7.596 
11.273 41.905 0.44 0.637 28.621 22.094 -22.007 6.652 
11.289 41.905 0.452 0.637 24.682 20.716 -121.606 1.793 
11.349 41.904 0.497 0.637 27.08 21.096 -36.829 3.749 
11.225 41.911 0.404 0.643 27.024 21.434 -53.992 4.837 
11.346 41.914 0.495 0.646 24.704 20.005 -135.593 0.958 
11.337 41.917 0.488 0.649 22.664 20.453 -79.682 0.969 
11.313 41.922 0.471 0.654 27.46 21.276 -231.348 2.097 
11.27 41.924 0.438 0.656 25.907 20.77 -157.848 2.163 
11.297 41.924 0.458 0.656 27.144 21.137 -37.291 1.894 
11.213 41.929 0.395 0.661 25.321 20.717 -223.11 2.029 
11.348 41.929 0.496 0.662 28.843 21.934 -170.507 1.007 
11.232 41.937 0.409 0.669 27.245 21.501 -5.272 3.803 
11.213 41.94 0.395 0.672 23.835 20.393 -124.986 1.831 
11.219 41.945 0.4 0.677 25.21 20.745 -136.419 7.683 
11.296 41.955 0.458 0.687 24.382 20.699 -131.386 1.384 
11.234 41.974 0.411 0.706 26.094 21.176 -124.186 2.461 
11.237 41.986 0.413 0.718 22.649 20.384 -194.607 3.191 
11.417 41.888 0.548 0.621 27.582 20.759 -126.37 2.211 
11.416 41.888 0.548 0.621 26.139 20.964 36.55 5.398 
11.356 41.9 0.503 0.632 24.722 20.257 -20.102 0.574 
11.467 41.805 0.586 0.538 23.592 20.559 -40.754 1.36 
11.241 41.97 0.417 0.702 27.15 20.933 -65.447 3.9 
11.534 41.85 0.636 0.584 24.435 20.306 -46.786 4.887 
11.493 41.841 0.605 0.575 24.8 20.57 -144.959 2.85 
11.471 41.852 0.589 0.585 26.232 21.112 -135.405 5.967 
11.564 41.857 0.658 0.591 24.588 20.708 -10.427 6.965 
11.556 41.862 0.652 0.596 25.079 19.835 -44.828 0.855 
11.542 41.863 0.642 0.597 27.659 21.416 -258.302 6.954 
11.534 41.865 0.636 0.598 25.533 20.693 -24.714 2.246 
11.552 41.87 0.65 0.604 25.714 21.05 -147.721 4.114 
11.541 41.88 0.641 0.614 25.425 20.973 -109.357 2.379 
11.517 41.885 0.623 0.619 26.905 21.446 -80.148 2.675 
11.569 41.887 0.662 0.621 26.032 20.65 -242.777 2.824 
11.534 41.889 0.635 0.623 25.437 20.719 -37.326 2.218 
11.469 41.894 0.587 0.627 26.682 20.56 -106.986 6.477 
11.48 41.941 0.595 0.675 25.478 20.72 7.194 1.663 
11.327 41.943 0.481 0.675 25.407 20.924 59.283 4.931 
11.471 41.944 0.589 0.678 25.21 20.293 -84.264 1.112 
11.446 41.961 0.57 0.694 25.229 20.472 -336.444 2.177 
11.347 41.984 0.495 0.716 23.384 19.791 -49.171 0.537 
11.327 41.987 0.481 0.719 27.675 20.616 -78.108 1.059 
11.301 41.989 0.461 0.721 24.743 20.434 -108.084 1.654 
11.368 41.995 0.511 0.728 24.945 20.158 -193.922 0.849 
11.373 42.003 0.515 0.735 26.078 20.878 -87.47 2.07 
11.336 42.016 0.487 0.749 25.388 20.803 -81.781 1.828 
11.299 42.018 0.459 0.751 28.139 21.093 -40.604 3.047 
11.297 42.038 0.458 0.77 22.725 20.299 -71.552 2.043 
11.418 41.909 0.549 0.642 24.556 20.672 -43.512 1.357 
11.432 41.963 0.559 0.696 24.685 20.359 -69.819 0.933 
11.611 41.905 0.693 0.639 23.377 20.37 -127.377 1.769 
11.522 41.912 0.627 0.645 25.816 20.906 -432.743 3.26 
11.618 41.92 0.699 0.655 23.805 20.582 -550.11 2.172 
11.6 41.924 0.685 0.658 25.311 20.849 -63.62 1.587 
11.501 41.934 0.611 0.668 25.576 20.73 -36.706 2.984 
11.59 41.936 0.678 0.67 26.794 21.321 -78.875 4.855 
11.604 41.938 0.688 0.672 24.186 20.294 -156.126 1.408 
11.484 41.94 0.598 0.674 25.309 20.508 -73.165 2.844 
11.508 41.949 0.616 0.683 26.78 20.355 -142.22 0.892 
11.475 41.95 0.591 0.683 23.324 19.416 -577.139 6.927 
11.517 41.971 0.623 0.705 26.309 20.597 -145.519 2.521 
11.51 41.974 0.617 0.707 25.213 20.857 -106.548 2.926 
11.443 41.997 0.567 0.73 24.911 20.507 -101.564 2.553 
11.382 42.001 0.522 0.734 25.747 20.514 -147.492 2.412 
11.478 42.007 0.593 0.741 23.039 19.993 -338.972 8.68 
11.418 42.011 0.549 0.744 24.227 20.317 -89.616 1.439 
11.45 42.012 0.573 0.745 25.085 20.616 -41.035 3.387 
11.448 42.018 0.571 0.751 26.631 21.059 -105.454 1.659 
11.37 42.049 0.512 0.782 27.911 20.958 -106.102 2.779 
11.404 42.051 0.538 0.784 25.629 20.561 -169.472 2.655 
11.512 41.933 0.619 0.667 25.245 20.862 -61.237 3.553 
